subject,block,accuracy,macro_f1,macro_precision,macro_sensitivity,macro_specificity,dimensions
Data_Sample12,Spectral_Dynamic_Riemannian,0.24,0.23780663780663777,0.2393939393939394,0.24,0.8099999999999999,1584
Data_Sample12,Riemannian,0.22,0.21558620258310662,0.2198412698412698,0.22000000000000003,0.805,1368
Data_Sample12,Static_Spectral,0.28,0.27593582887700535,0.28095238095238095,0.28,0.8200000000000001,144
Data_Sample12,Spectral_Dynamic,0.3,0.2942368742368743,0.3095454545454545,0.30000000000000004,0.825,216
Data_Sample12,Dynamic,0.16,0.16910457963089542,0.20555555555555557,0.16,0.79,72
Data_Sample12,Spectral_Dynamic_Graph,0.28,0.2687107095802748,0.27372960372960375,0.28,0.82,288
Data_Sample12,Graph,0.36,0.3591578947368421,0.38,0.36,0.8399999999999999,72
Data_Sample13,Full_MDRG,0.2,0.20577488439381023,0.21815018315018314,0.2,0.7999999999999999,1656
Data_Sample13,Riemannian_Graph,0.22,0.22633903988056633,0.23791208791208787,0.22000000000000003,0.805,1440
Data_Sample13,Spectral_Dynamic_Riemannian,0.22,0.21874468780647272,0.2188189588189588,0.22000000000000003,0.805,1584
Data_Sample13,Riemannian,0.24,0.24631882737145894,0.25565656565656564,0.24000000000000005,0.8099999999999999,1368
Data_Sample13,Static_Spectral,0.22,0.21824191572475327,0.22094017094017096,0.22000000000000003,0.805,144
Data_Sample13,Spectral_Dynamic,0.2,0.193999491482329,0.2007020757020757,0.2,0.8,216
Data_Sample13,Dynamic,0.16,0.15725252525252525,0.16499999999999998,0.16,0.79,72
Data_Sample13,Spectral_Dynamic_Graph,0.2,0.19033103119790426,0.18968253968253967,0.2,0.8,288
Data_Sample13,Graph,0.14,0.1293167701863354,0.12069930069930071,0.14,0.785,72
Data_Sample14,Full_MDRG,0.3,0.3019674185463659,0.31835497835497834,0.30000000000000004,0.825,1656
Data_Sample14,Riemannian_Graph,0.28,0.2823583959899749,0.3008080808080808,0.28,0.82,1440
Data_Sample14,Spectral_Dynamic_Riemannian,0.28,0.28010936431989064,0.2823232323232323,0.28,0.82,1584
Data_Sample14,Riemannian,0.22,0.21848970251716243,0.21948717948717947,0.22000000000000003,0.8049999999999999,1368
Data_Sample14,Static_Spectral,0.32,0.318078529657477,0.33611111111111114,0.32,0.8299999999999998,144
Data_Sample14,Spectral_Dynamic,0.28,0.2822798116915764,0.3005952380952381,0.27999999999999997,0.82,216
Data_Sample14,Dynamic,0.28,0.28266139657444006,0.3007692307692308,0.28,0.8200000000000001,72
Data_Sample14,Spectral_Dynamic_Graph,0.18,0.17879636703166116,0.1816017316017316,0.18,0.795,288
Data_Sample14,Graph,0.1,0.10038733196627933,0.10151515151515152,0.1,0.775,72
Data_Sample15,Full_MDRG,0.28,0.27087125121180844,0.26865079365079364,0.28,0.82,1656
Data_Sample15,Riemannian_Graph,0.26,0.24262838915470492,0.2338888888888889,0.25999999999999995,0.8150000000000001,1440
Data_Sample15,Spectral_Dynamic_Riemannian,0.26,0.25604591188115217,0.25773115773115773,0.26,0.8150000000000001,1584
Data_Sample15,Riemannian,0.26,0.25434343434343437,0.2533333333333333,0.25999999999999995,0.8150000000000001,1368
Data_Sample15,Static_Spectral,0.36,0.34849122807017546,0.35,0.36,0.8399999999999999,144
Data_Sample15,Spectral_Dynamic,0.3,0.2883398692810458,0.2926190476190476,0.3,0.825,216
Data_Sample15,Dynamic,0.26,0.2605741626794258,0.26222222222222225,0.26,0.8150000000000001,72
Data_Sample15,Spectral_Dynamic_Graph,0.26,0.25247863247863245,0.2575,0.26000000000000006,0.8150000000000001,288
Data_Sample15,Graph,0.18,0.18344497607655502,0.18777777777777777,0.18,0.7949999999999999,72
